channel,post_id,post_text,comment_text
nexta_live,105836,"Россияне спустили на воду атомный крейсер, способный носить «Посейдоны»  Как пишут российские медиа, атомная субмарина «Хабаровск» может перевозить до 12 беспилотных ядерных торпед. В России заявляют, что системы «Посейдон» могут поражать цели в любой точке Мирового океана.  Церемония состоялась на предприятии «Севмаш» в Северодвинске.  *Крейсер «Хабаровск» предназначен для дальних стратегических операций и может базироваться в открытом океане, выполняя задачи как часть ядерного арсенала России.  @nexta_live",Эта консервная банка заложена была в 2014г
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","А ви люди донатьте ,віддавайте останні гроші. І після я таких от новим кому ми потрібні? Хто нам буде допомагати? Просто немає слів"
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","Ну правильно хулі, ви лохи донатьте, а якщо будите пе*здіти, то буде вам зрада"
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину",Через таке злодійство в людей втрачається довіра на донати. Має бути суворе покарання щоб відпало бажання вкрасти копійку
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","Донатьте безпосередня військовим,які на нулі,є багато об'яв,які виставляють військові."
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","Прості люди донатять останні гроші,а ті підери найобують армію і весь Український народ, розстриляти к єбіням,а перед тим забрати гроші які вони замутили."
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину",Тому і не донатю
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","І за цю державу воювати? Поки люди донатять по 200-500 гривень, яказь мразь краде гроші. За це повинно бути пожиттєво мінімум. Нажаль немає смертної.."
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","більше донатьте,хтось собі лишню віллу купить."
truexanewsua,124555,"🤬😱 Корупція в оборонці! 90 млн грн (!) розкрали на дронах.   НАБУ і САП викрили масштабну оборудку, організовану посадовцями Держспецзв’язку та представниками приватних компаній під час закупівель безпілотників для Сил оборони України. Чотирьом фігурантам повідомлено про підозру у розтраті коштів в особливо великих розмірах.  ТРУХА⚡️Україна | Надіслати новину","Реально конченные!😡 Поэтому, когда бойцы просят донатов действительно для нужд  -народ проходит мимо(( Из-за таких вот хапуг!🤬"
